workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class
0,不是,round,cheese,0.02,food,3,shape
0,是,big,couch,0.02,furniture,4,size
0,是,fresh,cheese,0.03,food,5,age
0,不是,small,apple,0.04,food,6,size
0,是,green,apple,0.05,food,7,color
0,不是,soft,apple,0.05,food,8,texture
0,是,yellow,tomato,0.04,food,9,color
0,是,plastic,tomato,0.02,food,10,material
0,是,purple,couch,0.98,furniture,11,color
0,不是,brown,table,0.95,furniture,12,color
0,不是,blue,couch,0.94,furniture,13,color
0,是,dry,couch,0.47,furniture,14,texture
0,不是,good,potato,0.79,food,15,quality
0,不是,metal,box,0.07,furniture,16,material
0,是,red,bed,0.9,furniture,17,color
0,是,hard,apple,0.84,food,18,texture
0,是,rotten,cheese,0.26,food,19,age
0,不是,long,chair,0.8,furniture,20,size
0,是,wooden,apple,0.09,food,21,material
0,不是,short,apple,0.86,food,22,size
0,是,old,tomato,0.73,food,23,age
0,是,light,apple,0.8,food,24,size
0,是,square,potato,0.05,food,25,shape
0,不是,heavy,potato,0.86,food,26,size
0,是,bad,box,0.9,furniture,27,quality
0,不是,new,table,0.86,furniture,28,age
1,不是,wooden,potato,0.06,food,3,material
1,不是,dry,box,1,furniture,4,texture
1,是,metal,couch,0.98,furniture,5,material
1,是,plastic,couch,0.96,furniture,6,material
1,是,big,box,1,furniture,7,size
1,是,hard,apple,1,food,8,texture
1,是,heavy,potato,0.94,food,9,size
1,不是,fresh,cheese,1,food,10,age
1,是,blue,cheese,0.07,food,11,color
1,不是,small,potato,0.96,food,12,size
1,不是,bad,cheese,0.94,food,13,quality
1,是,green,box,0.02,furniture,14,color
1,不是,long,cheese,0.97,food,15,size
1,是,good,chair,0.13,furniture,16,quality
1,是,new,chair,0.08,furniture,17,age
1,不是,red,bed,0.96,furniture,18,color
1,不是,brown,watermelon,0.02,food,19,color
1,不是,round,table,0.99,furniture,20,shape
1,不是,square,bed,0.96,furniture,21,shape
1,是,old,watermelon,0.97,food,22,age
1,是,purple,potato,0,food,23,color
1,是,yellow,cheese,1,food,24,color
1,不是,rotten,apple,0.11,food,25,age
1,是,short,potato,0.89,food,26,size
1,不是,soft,apple,1,food,27,texture
1,不是,light,potato,0.91,food,28,size
2,是,brown,box,0.01,furniture,3,color
2,不是,square,watermelon,0.05,food,4,shape
2,不是,rotten,chair,0.06,furniture,5,age
2,是,dry,potato,0.02,food,6,texture
2,不是,soft,table,0.03,furniture,7,texture
2,不是,long,watermelon,0.03,food,8,size
2,是,old,couch,0.06,furniture,9,age
2,是,good,couch,0.04,furniture,10,quality
2,是,yellow,box,0.05,furniture,11,color
2,不是,short,tomato,0.05,food,12,size
2,不是,hard,apple,0.05,food,13,texture
2,不是,light,tomato,0.05,food,14,size
2,是,round,couch,0.05,furniture,15,shape
2,不是,fresh,bed,0.05,furniture,16,age
2,不是,big,tomato,0.05,food,17,size
2,不是,heavy,tomato,0.01,food,18,size
2,不是,metal,couch,0.03,furniture,19,material
2,是,green,watermelon,0.01,food,20,color
2,不是,small,tomato,0.02,food,21,size
2,不是,red,table,0.04,furniture,22,color
2,不是,bad,apple,0.06,food,23,quality
2,不是,purple,box,0.04,furniture,24,color
2,不是,plastic,apple,0.05,food,25,material
2,不是,new,potato,0.06,food,26,age
2,不是,blue,potato,0.05,food,27,color
2,不是,wooden,tomato,0.06,food,28,material
3,是,purple,potato,0.01,food,3,color
3,是,square,apple,0,food,4,shape
3,是,green,cheese,0.98,food,5,color
3,不是,plastic,box,1,furniture,6,material
3,是,good,potato,1,food,7,quality
3,是,metal,watermelon,0.01,food,8,material
3,不是,light,bed,1,furniture,9,size
3,是,bad,potato,1,food,10,quality
3,是,small,table,0.93,furniture,11,size
3,不是,rotten,table,0.84,furniture,12,age
3,是,blue,bed,0.01,furniture,13,color
3,是,old,watermelon,0.9,food,14,age
3,不是,big,table,1,furniture,15,size
3,是,hard,bed,1,furniture,16,texture
3,不是,dry,cheese,1,food,17,texture
3,不是,fresh,cheese,1,food,18,age
3,是,yellow,box,0.96,furniture,19,color
3,是,long,tomato,0.85,food,20,size
3,不是,brown,watermelon,0,food,21,color
3,是,red,watermelon,1,food,22,color
3,不是,new,watermelon,1,food,23,age
3,不是,wooden,table,1,furniture,24,material
3,是,round,tomato,0.04,food,25,shape
3,不是,short,watermelon,1,food,26,size
3,是,heavy,apple,0.9,food,27,size
3,不是,soft,tomato,1,food,28,texture
4,不是,blue,tomato,0.01,food,3,color
4,不是,bad,watermelon,0.99,food,4,quality
4,不是,soft,apple,0.85,food,5,texture
4,是,metal,potato,0.95,food,6,material
4,是,red,couch,0.92,furniture,7,color
4,是,big,chair,0.85,furniture,8,size
4,不是,plastic,table,0.87,furniture,9,material
4,不是,dry,chair,0,furniture,10,texture
4,是,long,table,0.79,furniture,11,size
4,不是,old,potato,0.8,food,12,age
4,不是,yellow,apple,0.99,food,13,color
4,是,good,box,0.92,furniture,14,quality
4,是,fresh,watermelon,0.96,food,15,age
4,不是,wooden,apple,0.96,food,16,material
4,是,rotten,box,0.02,furniture,17,age
4,是,hard,cheese,0.96,food,18,texture
4,不是,purple,couch,0.99,furniture,19,color
4,是,small,cheese,0.95,food,20,size
4,不是,round,potato,0.94,food,21,shape
4,是,green,tomato,0.05,food,22,color
4,不是,short,tomato,0,food,23,size
4,不是,new,chair,0.95,furniture,24,age
4,不是,brown,bed,0.98,furniture,25,color
4,是,light,watermelon,0.94,food,26,size
4,是,square,bed,0.98,furniture,27,shape
4,不是,heavy,cheese,0.49,food,28,size
